States,County,Total Population,Hispanic Men,Hispanic Women,White Men,White Women,Black Men,Black Women,Native Men,Native Women,Asian Men,Asian Women,Pacific Men,Pacific Women,Others
California,Solano County,"434,981","55,819","56,206","83,498","85,843","30,633","29,115",558,509,"31,545","32,892","1,790","1,846","24,727"
California,Sonoma County,"500,943","65,214","66,684","155,972","163,733","3,397","3,462","1,244","1,289","9,374","9,860",716,716,"19,282"
California,Stanislaus County,"535,684","119,933","120,767","113,811","118,310","6,660","6,832","1,078","1,086","14,154","14,447","1,688","1,688","15,230"
California,Sutter County,"95,583","14,412","14,484","22,530","22,694",865,876,314,313,"7,180","7,274",171,169,"4,301"
California,Tehama County,"63,247","7,593","7,711","21,762","21,998",184,189,477,468,448,448,9,10,"1,950"
California,Trinity County,"13,037",454,478,"5,478","5,314",53,46,282,272,65,68,60,59,408
California,Tulare County,"458,809","147,096","144,722","66,707","68,582","2,913","2,982","1,483","1,498","7,197","7,353",251,245,"7,780"
California,Tuolumne County,"53,899","3,587","2,794","22,039","21,515",764,148,378,332,311,260,65,38,"1,668"
California,Ventura County,"847,834","178,894","179,185","191,855","199,115","6,630","6,653","1,168","1,189","29,284","30,079",582,584,"22,616"
California,Yolo County,"212,605","32,730","34,008","49,228","51,773","2,274","2,376",266,267,"13,880","14,958",402,421,"10,022"
California,Yuba County,"74,644","10,329","10,136","21,579","20,429","1,234","1,171",362,347,"2,355","2,340",117,124,"4,121"
Colorado,Adams County,"487,850","96,656","95,107","125,664","123,471","7,278","7,284","1,160","1,169","9,242","9,274",300,286,"10,959"
Colorado,Alamosa County,"16,345","3,756","3,726","3,876","4,068",128,135,106,99,76,87,11,14,263
Colorado,Arapahoe County,"626,612","58,863","59,356","189,133","194,920","31,141","32,357",909,955,"17,393","17,776",618,622,"22,569"
